date,title
2026-05-21,May 2026 core update
2026-03-27,March 2026 core update
2026-03-26,March 2026 core update
2026-03-24,March 2026 spam update
2026-02-05,February 2026 Discover update
2025-12-11,December 2025 core update
2025-08-26,August 2025 spam update
2025-06-30,June 2025 core update
2025-03-13,March 2025 core update
2024-12-19,December 2024 spam update
2024-12-12,December 2024 core update
2024-11-11,November 2024 core update
2024-10-28,AI Overviews expansión a 100+ países (incl. España)
2024-08-15,Ranking is experiencing an ongoing issue
2024-08-15,August 2024 core update
2024-08-15,AI Overviews expansión (UK y otros)
2024-06-20,June 2024 spam update
2024-06-01,AI Overviews reducción y ajustes (verano)
2024-05-14,AI Overviews lanzamiento (US)
2024-03-05,March 2024 spam update
2024-03-05,March 2024 core update
2023-11-08,November 2023 reviews update
2023-11-02,November 2023 core update
2023-10-05,October 2023 core update
2023-10-05,Ranking is experiencing an ongoing issue
2023-10-04,October 2023 spam update
2023-09-14,September 2023 helpful content update
2023-08-22,August 2023 core update
2023-04-12,April 2023 reviews update
2023-03-15,March 2023 core update
2023-02-21,February 2023 product reviews update
2022-12-14,December 2022 link spam update
2022-12-05,December 2022 helpful content update
2022-10-19,October 2022 spam update
2022-09-20,September 2022 product reviews update
2022-09-12,September 2022 core update
2022-08-25,August 2022 helpful content update
2022-07-27,July 2022 product reviews update
2022-05-25,May 2022 core update
2022-03-23,March 2022 product reviews update
2022-02-22,Page experience update for desktop
2021-12-01,December 2021 product reviews update
2021-11-17,November 2021 core update
2021-11-03,November 2021 spam update
2021-07-26,July 2021 link spam update
2021-07-01,July 2021 core update
2021-06-28,June 2021 spam update
2021-06-23,June 2021 spam update
2021-06-15,Page experience update for mobile
2021-06-02,June 2021 core update
2021-04-08,April 2021 product reviews update
